UID,FIPS
84030093,30093
84030095,30095
84030097,30097
84030099,30099
84030101,30101
84030103,30103
84030105,30105
84030107,30107
84030109,30109
84030111,30111
84031001,31001
84031003,31003
84031005,31005
84031007,31007
84031009,31009
84031011,31011
84031013,31013
84031015,31015
84031017,31017
84031019,31019
84031021,31021
84031023,31023
84031025,31025
84031027,31027
84031029,31029
84031031,31031
84031033,31033
84031035,31035
84031037,31037
84031039,31039
84031041,31041
84031043,31043
84031045,31045
84031047,31047
84031049,31049
84031051,31051
84031053,31053
84031055,31055
84031057,31057
84031059,31059
84031061,31061
84031063,31063
84031065,31065
84031067,31067
84031069,31069
84031071,31071
84031073,31073
84031075,31075
84031077,31077
84031079,31079
84031081,31081
84031083,31083
84031085,31085
84031087,31087
84031089,31089
84031091,31091
84031093,31093
84031095,31095
84031097,31097
84031099,31099
84031101,31101
84031103,31103
84031105,31105
84031107,31107
84031109,31109
84031111,31111
84031113,31113
84031115,31115
84031117,31117
84031119,31119
84031121,31121
84031123,31123
84031125,31125
84031127,31127
84031129,31129
84031131,31131
84031133,31133
84031135,31135
84031137,31137
84031139,31139
84031141,31141
84031143,31143
84031145,31145
84031147,31147
84031149,31149
84031151,31151
84031153,31153
84031155,31155
84031157,31157
84031159,31159
84031161,31161
84031163,31163
84031165,31165
84031167,31167
84031169,31169
84031171,31171
84031173,31173
84031175,31175
84031177,31177
84031179,31179
84031181,31181
84031183,31183
84031185,31185
84032001,32001
84032003,32003
84032005,32005
84032007,32007
84032009,32009
84032011,32011
84032013,32013
84032015,32015
84032017,32017
84032019,32019
84032021,32021
84032023,32023
84032027,32027
84032029,32029
84032031,32031
